CountryName,CountryCode,Date,ConfirmedCases,ConfirmedCases_PercentChange,ConfirmedCases_LogChange,ConfirmedDeaths,ConfirmedDeaths_PercentChange,ConfirmedDeaths_LogChange,StringencyIndexForDisplay,StringencyIndexForDisplay_PercentChange,StringencyIndexForDisplay_LogChange,StringencyLegacyIndexForDisplay,StringencyLegacyIndexForDisplay_PercentChange,StringencyLegacyIndexForDisplay_LogChange,GovernmentResponseIndexForDisplay,GovernmentResponseIndexForDisplay_PercentChange,GovernmentResponseIndexForDisplay_LogChange,ContainmentHealthIndexForDisplay,ContainmentHealthIndexForDisplay_PercentChange,ContainmentHealthIndexForDisplay_LogChange,EconomicSupportIndexForDisplay,EconomicSupportIndexForDisplay_PercentChange,EconomicSupportIndexForDisplay_LogChange
United States,USA,2020-01-01,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-02,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-03,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-04,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-05,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-06,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-07,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-08,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-09,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-10,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-11,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-12,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-13,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-14,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-15,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-16,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-17,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-18,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-19,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-20,0,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-21,1,-1.0,0.6931471805599453,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,-1.0,1.5195132049061133,4.17,-1.0,1.6428726885203377,0.00,0.0,0.0
United States,USA,2020-01-22,1,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-23,1,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-24,1,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-25,2,-0.5,0.4054651081081645,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-26,2,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-27,5,-0.6,0.6931471805599452,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-28,5,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-29,5,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-30,5,0.0,0.0,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-01-31,6,-0.16666666666666666,0.15415067982725827,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-01,7,-0.14285714285714285,0.13353139262452252,0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,3.57,0.0,0.0,4.17,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-02,8,-0.125,0.11778303565638382,0,0.0,0.0,5.56,-1.0,1.8809906029559975,7.14,-1.0,2.096790180014449,7.14,-0.5,0.5772769751083358,8.33,-0.49939975990396157,0.5903623263389148,0.00,0.0,0.0
United States,USA,2020-02-03,11,-0.2727272727272727,0.2876820724517808,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-04,11,0.0,0.0,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-05,11,0.0,0.0,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-06,12,-0.08333333333333333,0.08004270767353638,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-07,12,0.0,0.0,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-08,12,0.0,0.0,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-09,12,0.0,0.0,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-10,12,0.0,0.0,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-11,13,-0.07692307692307693,0.07410797215372167,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
United States,USA,2020-02-12,13,0.0,0.0,0,0.0,0.0,5.56,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,8.33,0.0,0.0,0.00,0.0,0.0
